genres,avaliacoes_positivas_percentual,concorrentes
"Action;Indie;Massively Multiplayer;Strategy;Early Access",78.83600000,1
"Action;Indie;Early Access",78.78436556,270
"Animation & Modeling;Design & Illustration",78.68850000,2
"Action;Indie;RPG;Early Access",78.63671778,45
Violent;Gore;Adventure;RPG,78.59135000,2
"Sexual Content;Nudity;Action;Adventure;Indie",78.57140000,1
"Indie;Sports;Strategy;Early Access",78.57140000,1
"Action;Adventure;Casual;Indie;RPG;Early Access",78.49004000,15
Action;RPG;Simulation;Strategy,78.38995000,2
"Action;Adventure;Massively Multiplayer;RPG;Strategy;Early Access",78.37840000,1
"Sexual Content;Nudity;Adventure;Casual;Simulation",78.36805000,2
"Racing;Simulation;Early Access",78.34818000,5
"Sexual Content;Nudity;Violent;Gore;Action",78.30110000,1
"Massively Multiplayer;RPG",78.30105000,2
"Action;Massively Multiplayer;Simulation;Strategy",78.26460000,1
Indie;RPG,78.25968762,202
"Adventure;Casual;Massively Multiplayer;Simulation",78.17365000,2
Action;Casual;Indie;Simulation;Sports;Strategy,78.12500000,1
Casual;Racing,78.11916364,11
"Adventure;Casual;Indie;RPG;Early Access",78.05363333,9
Adventure;RPG,78.04867778,63
"Indie;Massively Multiplayer;RPG;Strategy",77.87140000,4
Action;Strategy;Indie;Sports,77.83780000,1
"Adventure;Indie;Racing;Early Access",77.77780000,2
Violent;Casual;Indie,77.77780000,1
"Animation & Modeling;Design & Illustration;Utilities",77.74454286,7
Nudity;Indie,77.73820000,2
"Design & Illustration;Education;Utilities",77.67540000,3
Action;RPG;Indie,77.63973333,3
"Action;Indie;Simulation;Sports;Early Access",77.62766923,13
"Indie;Racing;Early Access",77.57807778,9
"Action;Casual;Indie;Sports;Early Access",77.50503571,14
"Action;Casual;Indie;Massively Multiplayer;Early Access",77.35045000,2
Adventure;Casual,77.26570602,498
Gore,77.12230000,1
Nudity;Gore;Adventure;Casual;Indie,77.04785000,2
"Indie;Simulation;Sports;Early Access",77.00865000,6
"Action;Adventure;Massively Multiplayer;Early Access",76.98960000,2
"Sexual Content;Indie",76.98415000,2
"Action;Adventure;Casual;Indie;Racing;Early Access",76.98413333,3
"Animation & Modeling;Design & Illustration;Utilities;Video Production",76.92310000,1
"Indie;Simulation;Education;Early Access",76.92310000,1
Action;Adventure;Indie;Sports,76.89810000,5
RPG,76.76754651,258
"Casual;Indie;RPG;Strategy;Early Access",76.72590000,5
"Indie;RPG;Early Access",76.69340556,18
Violent;Gore;Adventure;Casual;Indie;Strategy,76.68710000,1
Action;Casual;Indie;Racing,76.66767222,36
Action;Indie;Racing;Simulation;Strategy,76.66670000,1
Action;Casual;Indie;RPG;Simulation,76.51227143,7
Action;Adventure;Indie;RPG;Sports,76.47060000,1
Indie;RPG;Strategy,76.45094265,136
"Sexual Content;Violent;Gore;Adventure;Indie",76.42102500,4
Nudity;Violent;Adventure;Indie,76.40283333,3
"Action;Adventure;Indie;Racing;Simulation;Early Access",76.27120000,1
Adventure,76.22251670,497
"Indie;Sports;Early Access",76.21907500,4
Violent;Gore;Action;Adventure;RPG,76.21015000,2
Nudity;Violent;Indie,76.19050000,1
"Action;Indie;Massively Multiplayer;Simulation;Strategy;Early Access",76.17135000,2
"Indie;Massively Multiplayer;RPG;Simulation",76.13240000,1
Adventure;RPG;Simulation,76.11062000,5
"Indie;Massively Multiplayer;Simulation",76.05240000,2
"Indie;Massively Multiplayer;Simulation;Strategy;Early Access",75.96155000,2
Adventure;Casual;Indie;Racing;Simulation,75.92345000,2
Adventure;Indie,75.88843422,1128
"Action;Indie;RPG;Strategy;Early Access",75.85604286,7
"Animation & Modeling;Design & Illustration;Photo Editing",75.79620000,1
Adventure;Casual;Indie;RPG;Simulation,75.78688000,30
Action;Indie;Simulation;Sports,75.74068571,21
Action;Indie,75.70096057,1803
"Action;Casual;Early Access",75.69445000,4
Nudity;Violent;Adventure;Indie;RPG,75.68900000,2
Indie;Racing;Simulation,75.55997273,11
"Sexual Content;Strategy",75.47890000,1
Action;Indie;Racing,75.30944225,71
Nudity;Action;Adventure;Indie,75.24750000,1
