publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"Black Maple Games",1,1,2798000,1.0000
"Snail Games USA",2,3,2798000,0.6667
"Chongming Studio",0,1,2798000,0.0000
Rebellion,21,23,2795000,0.9130
"RobTop Games",1,1,2790000,1.0000
"Aerosoft GmbH",16,18,2711000,0.8889
"Bethesda Softworks",27,35,2598000,0.7714
"Carpe Fulgur LLC",4,4,2598000,1.0000
"XSEED Games;Marvelous USA, Inc.",12,18,2598000,0.6667
"Studio 397",1,1,2579000,1.0000
"TT Games",1,1,2499000,1.0000
"PlayWay S.A.",5,7,2495000,0.7143
"CAPCOM Co., Ltd.",7,13,2495000,0.5385
Fayju,1,1,2478000,1.0000
Contingent99,1,1,2478000,1.0000
"Cyan Inc.",1,1,2399000,1.0000
"Team Reptile",3,3,2398000,1.0000
"Acid Wizard Studio",1,1,2398000,1.0000
"E-Line Media",1,1,2398000,1.0000
WeirdBeard,1,1,2398000,1.0000
"Larian Studios",5,5,2395000,1.0000
"Texel Raptor",1,1,2379000,1.0000
"Strange Loop Games",1,1,2379000,1.0000
"Capcom Co. Ltd",1,1,2299000,1.0000
"Capcom U.S.A., Inc.",2,2,2299000,1.0000
"Overhype Studios",1,1,2299000,1.0000
"KK Game Studio",0,1,2278000,0.0000
Puppygames,6,6,2278000,1.0000
"Kot in Action Creative Artel",1,1,2278000,1.0000
"Rocket Bear Games",1,1,2278000,1.0000
"Behold Studios",3,3,2278000,1.0000
"Brilliant Skies Ltd.",1,1,2278000,1.0000
"Fellow Traveller;Samurai Punk",1,1,2278000,1.0000
"Brilliant Game Studios",0,1,2278000,0.0000
"Games Operators;PlayWay S.A.",1,1,2198000,1.0000
"Drift Physics Crew",0,1,2198000,0.0000
"Batterystaple Games",1,1,2198000,1.0000
Eggcode,1,2,2198000,0.5000
"Fishing Cactus;Plug In Digital",1,1,2198000,1.0000
SteelRaven7,0,1,2198000,0.0000
"Game Grumps",0,1,2198000,0.0000
"Killmonday Games AB",1,1,2198000,1.0000
"PixelTail Games",1,1,2198000,1.0000
"EarthWork Games",1,1,2198000,1.0000
"Two Tribes",1,1,2198000,1.0000
"Vblank Entertainment, Inc.",1,1,2198000,1.0000
"Apogee Software",9,10,2198000,0.9000
"Level Up Labs",1,1,2198000,1.0000
"Robotronic Games",1,1,2198000,1.0000
"Minority Media",1,2,2198000,0.5000
"AGM PLAYISM",47,69,2198000,0.6812
"Dylan Fitterer",2,2,2198000,1.0000
"Reverb Triple XP",9,9,2198000,1.0000
"Schine, GmbH",1,1,2198000,1.0000
GalaxyTrail,1,2,2198000,0.5000
"Biart Company LLC",1,1,2198000,1.0000
"Necrophone Games",1,1,2198000,1.0000
"Matt Makes Games Inc.",2,2,2198000,1.0000
"Asteroid Base",1,1,2198000,1.0000
"Rocketcat Games",2,2,2198000,1.0000
"Terrible Posture Games LLC",1,1,2198000,1.0000
"Good Shepherd Entertainment;Devolver Digital",2,2,2198000,1.0000
"Digital Happiness",2,3,2198000,0.6667
"Osumia Games",1,1,2198000,1.0000
Powerhoof,1,2,2198000,0.5000
Game-Labs,3,3,2198000,1.0000
"StartupTim, LLC;Tim Sullivan",1,2,2198000,0.5000
"Ysbryd Games;AGM PLAYISM",1,1,2198000,1.0000
"Amistech Games",1,1,2198000,1.0000
"Wube Software LTD.",1,1,2100000,1.0000
"Forward Global Group, Ltd.",1,1,2051000.0000000002,1.0000
"Zero Gravity",1,1,1998999.9999999998,1.0000
"Circle Five Studios",1,1,1998000,1.0000
Capcom,33,33,1998000,1.0000
@unepic_fran,3,3,1998000,1.0000
"Minor Key Games",7,8,1998000,0.8750
"Tripwire Interactive",10,11,1995000,0.9091
Frozenbyte,7,7,1995000,1.0000
"Kalypso Media Digital",39,46,1995000,0.8478
Ripstone,10,13,1995000,0.7692
IndieGala,7,8,1995000,0.8750
"Silver Dollar Games",1,2,1995000,0.5000
"Laser Guided Games, LLC",2,2,1995000,1.0000
BlankMediaGames,1,1,1995000,1.0000
"Onyx Lute",1,2,1995000,0.5000
"Cylinder Studios",0,1,1995000,0.0000
"Project Moon",1,1,1948999.9999999998,1.0000
Refract,1,1,1948999.9999999998,1.0000
"Leafy Games",1,1,1948999.9999999998,1.0000
SeithCG,1,1,1948999.9999999998,1.0000
"Prideful Sloth",1,1,1898999.9999999998,1.0000
"Chongqing Shangshixuan Technology Co., Ltd.,",0,1,1857999.9999999998,0.0000
AwesomeBlade,1,1,1857999.9999999998,1.0000
"Konami Digital Entertainment, Inc.;Konami Digital Entertainement GmbH",1,1,1798999.9999999998,1.0000
"astragon Entertainment ",2,2,1798999.9999999998,1.0000
"BioWare Corporation;Electronic Arts",1,1,1798000,1.0000
"Epic Games, Inc.",4,5,1798000,0.8000
Sparpweed,1,1,1798000,1.0000
"State of Play Games ",1,1,1798000,1.0000
"Matt Roszak",4,4,1798000,1.0000
"Aquiris Game Studio",2,2,1798000,1.0000
"Last Level",1,2,1798000,0.5000
"Gaslamp Games, Inc.",2,2,1745000,1.0000
"Ubisoft;Feral Interactive (Mac)",1,1,1718000,1.0000
"Ubisoft Entertainment				",0,1,1699500,0.0000
Asymmetric,0,1,1657999.9999999998,0.0000
"Offworld Industries",2,3,1625000,0.6667
Drool,1,1,1599000,1.0000
"The Chinese Room",1,1,1598000,1.0000
"1C Entertainment",79,88,1598000,0.8977
"IllFonic;Psyop Games",1,1,1598000,1.0000
"Daedalic Entertainment",46,49,1598000,0.9388
EfimovMax,2,2,1595000,1.0000
ArtemizGame,1,1,1595000,1.0000
DANKIE,2,2,1580000,1.0000
"Leadwerks Software",2,2,1579800,1.0000
"Out of the Park Developments",3,7,1549000,0.4286
Pipliz,1,1,1549000,1.0000
"Indimo Labs LLC",1,1,1549000,1.0000
"Creepy Jar",0,1,1549000,0.0000
"Avalanche Publishing",0,1,1499500,0.0000
"Plug In Digital;Argonauts Interactive",2,2,1499000,1.0000
"Tequila Works",1,1,1499000,1.0000
"Terrible Toybox",1,1,1499000,1.0000
"Black Eye Games",1,1,1499000,1.0000
oddonegames,1,1,1499000,1.0000
Mousechief,3,3,1499000,1.0000
"2x2 Games",1,1,1499000,1.0000
"Badland Studio",1,1,1499000,1.0000
"Aterdux Entertainment",2,3,1499000,0.6667
WayForward,6,7,1499000,0.8571
"Serenity Forge",5,6,1499000,0.8333
"Nowhere Studios",1,1,1499000,1.0000
Question,1,2,1499000,0.5000
"MuHa Games",1,2,1499000,0.5000
"Ocelot Society",1,1,1499000,1.0000
"Konami Digital Entertainment, Inc.",1,1,1499000,1.0000
"Anvil Game Studios",1,1,1499000,1.0000
"Thomas Happ Games LLC",1,1,1499000,1.0000
Crema,0,1,1495000,0.0000
"Meta Interaction",0,1,1438000,0.0000
"Klei Entertainment",6,6,1438000,1.0000
"Pathea Games",1,1,1438000,1.0000
"Top Meadow",2,2,1438000,1.0000
"Step 1 Games LLC",1,1,1438000,1.0000
SmashGames,3,4,1438000,0.7500
"Fellow Traveller",8,10,1438000,0.8000
EQG,1,1,1438000,1.0000
"Last Bastion Studios LLC",1,1,1438000,1.0000
